id_check_in,id_reserva,fecha_hora_check_in,estado,tipo_check_in
1,1,2024-11-09 12:22:14,Completado,Online
2,2,2024-02-19 02:21:23,Pendiente,Presencial
3,3,2024-07-28 06:19:44,Pendiente,Online
4,4,2024-06-20 00:33:27,Cancelado,Presencial
5,5,2024-03-01 12:57:50,Completado,Presencial
6,6,2024-10-20 23:53:40,Completado,Presencial
7,7,2024-02-02 16:14:58,Cancelado,Online
8,8,2024-05-19 05:52:22,Completado,Online
9,9,2024-01-29 22:20:42,Cancelado,Online
10,10,2024-01-09 07:05:33,Cancelado,Online
11,11,2024-03-10 14:55:17,Pendiente,Online
12,12,2024-11-10 22:30:25,Cancelado,Online
13,13,2024-08-07 05:08:48,Cancelado,Presencial
14,14,2024-02-19 19:13:45,Completado,Presencial
15,15,2024-01-21 06:33:56,Cancelado,Online
16,16,2024-02-04 16:57:22,Pendiente,Presencial
17,17,2024-10-14 13:28:46,Cancelado,Online
18,18,2024-10-14 17:34:32,Pendiente,Online
19,19,2024-07-18 21:01:25,Cancelado,Online
20,20,2024-03-12 19:53:22,Pendiente,Online
21,21,2024-05-13 05:22:10,Pendiente,Online
22,22,2024-10-17 21:37:58,Pendiente,Presencial
23,23,2024-10-01 20:14:17,Cancelado,Presencial
24,24,2024-08-20 11:39:52,Completado,Online
25,25,2024-05-05 11:50:09,Cancelado,Online
26,26,2024-11-12 21:35:18,Cancelado,Presencial
27,27,2024-02-01 23:35:11,Cancelado,Presencial
28,28,2024-01-07 19:06:10,Pendiente,Presencial
29,29,2024-01-31 16:20:02,Cancelado,Online
30,30,2024-09-29 16:07:26,Cancelado,Online
31,31,2024-11-12 11:33:44,Cancelado,Presencial
32,32,2024-04-24 20:26:51,Completado,Online
33,33,2024-05-28 12:32:39,Pendiente,Online
34,34,2024-02-21 09:17:51,Completado,Presencial
35,35,2024-06-20 04:24:27,Pendiente,Presencial
36,36,2024-04-29 06:36:48,Completado,Online
37,37,2024-06-28 11:39:17,Pendiente,Presencial
38,38,2024-06-14 18:09:19,Completado,Presencial
39,39,2024-11-25 00:17:53,Cancelado,Online
40,40,2024-04-09 02:27:33,Pendiente,Presencial
41,41,2024-07-03 04:34:51,Completado,Online
42,42,2024-03-02 04:00:12,Cancelado,Online
43,43,2024-02-20 01:12:24,Cancelado,Presencial
44,44,2024-11-17 18:56:51,Completado,Online
45,45,2024-02-03 13:59:55,Completado,Presencial
46,46,2024-09-18 23:30:22,Completado,Presencial
47,47,2024-06-04 21:58:41,Cancelado,Presencial
48,48,2024-07-31 01:51:34,Completado,Online
49,49,2024-05-29 16:52:22,Completado,Presencial
50,50,2024-05-13 01:22:10,Cancelado,Online
