id_equipaje,id_pasajero,tipo_equipaje,peso,descripcion,alto,ancho,profundidad,cobro_extra
1,1,De Bodega,13.29,Equipaje de bodega de 13.29 kg,49,54,45,0
2,1,Mano,7.61,Equipaje mano de 7.61 kg,40,45,40,0
3,2,Mano,14.15,Equipaje mano de 14.15 kg,52,34,50,0
4,3,Mano,5.19,Equipaje mano de 5.19 kg,31,26,44,0
5,3,Mano,19.39,Equipaje mano de 19.39 kg,78,32,38,0
6,3,Mano,6.32,Equipaje mano de 6.32 kg,47,40,34,0
7,4,Mano,6.01,Equipaje mano de 6.01 kg,73,31,32,0
8,5,De Bodega,7.68,Equipaje de bodega de 7.68 kg,37,27,44,50
9,6,De Bodega,11.42,Equipaje de bodega de 11.42 kg,39,52,31,0
10,6,Mano,17.45,Equipaje mano de 17.45 kg,77,57,28,0
11,6,De Bodega,26.6,Equipaje de bodega de 26.6 kg,76,37,48,50
12,7,Mano,23.18,Equipaje mano de 23.18 kg,35,45,16,0
13,7,De Bodega,29.24,Equipaje de bodega de 29.24 kg,51,28,44,100
14,8,Mano,8.35,Equipaje mano de 8.35 kg,34,34,49,0
15,8,Mano,13.51,Equipaje mano de 13.51 kg,39,25,22,0
16,9,Mano,21.71,Equipaje mano de 21.71 kg,70,37,28,0
17,9,Mano,6.96,Equipaje mano de 6.96 kg,66,41,19,0
18,10,Mano,16.45,Equipaje mano de 16.45 kg,41,59,23,0
19,11,Mano,29.34,Equipaje mano de 29.34 kg,47,49,28,0
20,11,De Bodega,23.31,Equipaje de bodega de 23.31 kg,75,25,17,0
21,11,De Bodega,22.49,Equipaje de bodega de 22.49 kg,52,60,33,50
22,12,Mano,23.74,Equipaje mano de 23.74 kg,52,42,15,0
23,12,De Bodega,13.44,Equipaje de bodega de 13.44 kg,66,57,36,0
24,13,De Bodega,30.37,Equipaje de bodega de 30.37 kg,62,55,31,100
25,13,De Bodega,26.37,Equipaje de bodega de 26.37 kg,33,56,44,100
26,13,De Bodega,26.58,Equipaje de bodega de 26.58 kg,46,38,46,50
27,14,De Bodega,19.2,Equipaje de bodega de 19.2 kg,57,56,37,50
28,14,Mano,23.56,Equipaje mano de 23.56 kg,77,44,12,0
29,15,Mano,24.68,Equipaje mano de 24.68 kg,79,51,41,0
30,15,Mano,10.09,Equipaje mano de 10.09 kg,65,44,35,0
31,15,Mano,8.72,Equipaje mano de 8.72 kg,65,59,23,0
32,16,De Bodega,12.92,Equipaje de bodega de 12.92 kg,79,24,19,100
33,16,Mano,22.41,Equipaje mano de 22.41 kg,30,38,37,0
34,17,De Bodega,15.9,Equipaje de bodega de 15.9 kg,31,47,32,100
35,17,De Bodega,10.4,Equipaje de bodega de 10.4 kg,38,21,27,0
36,17,Mano,15.46,Equipaje mano de 15.46 kg,72,40,14,0
37,18,De Bodega,12.45,Equipaje de bodega de 12.45 kg,72,58,42,0
38,18,De Bodega,17.63,Equipaje de bodega de 17.63 kg,45,47,40,0
39,18,Mano,26.45,Equipaje mano de 26.45 kg,68,56,46,0
40,19,Mano,11.48,Equipaje mano de 11.48 kg,43,50,28,0
41,19,Mano,12.02,Equipaje mano de 12.02 kg,49,47,38,0
42,20,Mano,27.17,Equipaje mano de 27.17 kg,40,29,37,0
43,20,Mano,6.12,Equipaje mano de 6.12 kg,75,60,47,0
44,21,Mano,27.63,Equipaje mano de 27.63 kg,43,43,40,0
45,21,De Bodega,7.99,Equipaje de bodega de 7.99 kg,51,59,17,50
46,22,Mano,28.75,Equipaje mano de 28.75 kg,55,54,27,0
47,22,De Bodega,6.31,Equipaje de bodega de 6.31 kg,44,40,36,0
48,23,De Bodega,7.97,Equipaje de bodega de 7.97 kg,78,41,21,50
