id_reserva,id_pasajero,id_vuelo,numero_asiento,fecha_hora_reserva,motivo_viaje,tipo_boleto,estado
1,1,5,5-02,2024-02-20 14:59:18,Estudio,Primera Clase,Cancelado
2,2,3,3-18,2024-02-19 00:34:05,Turismo,Ejecutivo,Pendiente
3,3,5,5-18,2024-10-31 00:33:47,Negocios,Ejecutivo,Pendiente
4,4,3,3-26,2024-06-30 17:30:18,Estudio,Primera Clase,Confirmada
5,5,2,2-32,2024-05-03 03:14:05,Negocios,Económico,Pendiente
6,6,3,3-39,2024-02-14 18:08:06,Negocios,Ejecutivo,Confirmada
7,7,6,6-13,2024-10-12 11:33:16,Turismo,Económico,Pendiente
8,8,1,1-13,2024-04-07 06:47:18,Trabajo,Primera Clase,Pendiente
9,9,8,8-38,2024-05-25 16:58:09,Trabajo,Primera Clase,Pendiente
10,10,4,4-04,2024-06-10 02:21:03,Turismo,Primera Clase,Pendiente
11,11,4,4-06,2024-04-11 06:30:16,Negocios,Ejecutivo,Cancelado
12,12,3,3-26,2024-10-11 18:10:13,Estudio,Ejecutivo,Cancelado
13,13,6,6-18,2024-11-21 05:45:25,Turismo,Primera Clase,Pendiente
14,14,8,8-19,2024-08-24 00:04:16,Negocios,Ejecutivo,Pendiente
15,15,8,8-34,2024-01-16 19:58:24,Trabajo,Económico,Cancelado
16,16,7,7-01,2024-06-11 22:24:53,Negocios,Ejecutivo,Pendiente
17,17,7,7-25,2024-09-18 17:05:29,Negocios,Económico,Confirmada
18,18,6,6-22,2024-03-16 03:11:38,Estudio,Primera Clase,Pendiente
19,19,2,2-35,2024-02-28 16:44:32,Estudio,Primera Clase,Pendiente
20,20,6,6-23,2024-08-17 10:58:36,Trabajo,Primera Clase,Confirmada
21,21,3,3-15,2024-04-28 23:44:07,Negocios,Ejecutivo,Pendiente
22,22,1,1-21,2024-07-26 08:01:59,Estudio,Primera Clase,Pendiente
23,23,2,2-03,2024-04-23 11:59:34,Turismo,Primera Clase,Pendiente
24,24,3,3-19,2024-01-15 18:08:06,Estudio,Ejecutivo,Cancelado
25,25,3,3-40,2024-05-30 01:24:55,Estudio,Primera Clase,Pendiente
26,26,1,1-29,2024-03-02 14:29:07,Estudio,Económico,Confirmada
27,27,6,6-14,2024-05-23 16:12:37,Trabajo,Primera Clase,Confirmada
28,28,3,3-35,2024-03-13 00:08:53,Estudio,Primera Clase,Cancelado
29,29,2,2-02,2024-02-03 00:38:51,Turismo,Económico,Pendiente
30,30,4,4-24,2024-08-19 23:20:28,Estudio,Ejecutivo,Pendiente
31,31,1,1-33,2024-10-25 10:02:44,Negocios,Primera Clase,Cancelado
32,32,8,8-12,2024-05-09 07:08:02,Negocios,Primera Clase,Pendiente
33,33,6,6-25,2024-11-03 04:44:18,Estudio,Primera Clase,Cancelado
34,34,1,1-17,2024-02-18 15:48:31,Estudio,Primera Clase,Pendiente
35,35,3,3-27,2024-02-03 13:12:34,Negocios,Primera Clase,Cancelado
36,36,2,2-04,2024-08-05 02:09:24,Turismo,Económico,Cancelado
37,37,2,2-22,2024-03-25 19:21:43,Turismo,Económico,Confirmada
38,38,2,2-23,2024-07-31 12:15:43,Turismo,Primera Clase,Confirmada
39,39,10,10-04,2024-02-19 03:15:47,Negocios,Primera Clase,Cancelado
40,40,2,2-33,2024-07-16 04:22:34,Estudio,Ejecutivo,Confirmada
41,41,5,5-18,2024-10-12 08:31:05,Trabajo,Ejecutivo,Cancelado
42,42,6,6-15,2024-11-02 06:15:40,Negocios,Ejecutivo,Cancelado
43,43,5,5-18,2024-08-30 03:35:12,Estudio,Económico,Cancelado
44,44,4,4-05,2024-03-21 11:09:48,Negocios,Económico,Pendiente
45,45,8,8-04,2024-04-04 22:58:05,Negocios,Primera Clase,Cancelado
46,46,3,3-41,2024-03-17 22:34:53,Negocios,Económico,Confirmada
47,47,10,10-02,2024-02-24 23:48:46,Turismo,Ejecutivo,Pendiente
48,48,6,6-32,2024-03-08 01:27:37,Estudio,Económico,Pendiente
49,49,4,4-31,2024-07-15 13:00:07,Turismo,Primera Clase,Cancelado
50,50,1,1-25,2024-06-05 21:15:02,Turismo,Primera Clase,Cancelado
51,51,10,10-23,2024-09-29 15:11:45,Turismo,Primera Clase,Cancelado
52,52,10,10-05,2024-03-21 01:25:46,Negocios,Primera Clase,Pendiente
53,53,3,3-06,2024-01-10 19:05:25,Negocios,Primera Clase,Confirmada
54,54,1,1-19,2024-09-15 03:18:42,Turismo,Económico,Cancelado
55,55,4,4-09,2024-04-14 01:44:31,Negocios,Ejecutivo,Confirmada
56,56,8,8-30,2024-03-09 14:05:13,Negocios,Ejecutivo,Cancelado
57,57,6,6-17,2024-10-07 07:20:12,Turismo,Económico,Confirmada
58,58,3,3-18,2024-06-07 08:54:02,Trabajo,Ejecutivo,Pendiente
59,59,1,1-17,2024-10-18 15:59:26,Turismo,Económico,Pendiente
60,60,5,5-17,2024-04-27 00:24:23,Estudio,Ejecutivo,Pendiente
61,61,2,2-33,2024-05-15 21:10:34,Trabajo,Primera Clase,Confirmada
62,62,2,2-23,2024-02-29 21:49:22,Estudio,Económico,Confirmada
63,63,8,8-04,2024-03-24 12:48:32,Turismo,Primera Clase,Cancelado
64,64,6,6-29,2024-04-11 04:14:19,Estudio,Primera Clase,Confirmada
65,65,5,5-10,2024-10-15 03:27:09,Turismo,Primera Clase,Confirmada
66,66,4,4-23,2024-06-20 15:25:01,Trabajo,Primera Clase,Confirmada
67,67,1,1-38,2024-06-26 23:50:26,Estudio,Ejecutivo,Pendiente
68,68,4,4-23,2024-10-25 05:37:13,Negocios,Primera Clase,Cancelado
